"State","zhvi_pre_avg","zhvi_post_avg","zhvi_pre_change","zhvi_post_change","gdp_pre","gdp_post","income_pre","income_post","pce_pre","pce_post","population_pre","population_post","creditcard_pre","creditcard_post","auto_pre","auto_post","mortgage_pre","mortgage_post","studentloan_pre","studentloan_post","total_pre","total_post","creditcard_delinq_pre","creditcard_delinq_post","auto_delinq_pre","auto_delinq_post","mortgage_delinq_pre","mortgage_delinq_post","studentloan_delinq_pre","studentloan_delinq_post","unemp_pre","unemp_17","unemp_19","unemp_post","unemp_20","unemp_22"
"MI",156501.049117192,201957.230385849,14.5456498505109,26.4686221199372,3.16443328717099,8.33385469196871,7.31928243195475,9.69935779642715,411154.866666667,459651.966666667,0.639845528416808,1.36080011661314,9.57854406130268,18.2539682539683,7.85907859078591,15.1807228915663,7.04712494595763,11.402157164869,7.65027322404372,0.66334991708126,6.69500531349628,10.9705667720749,6.88,6.63,5.34,4.83,0.68,0.41,11.99,0.77,-0.8,4.6,3.8,-2.8,6.9,4.1
"MN",236583.483413175,294272.225348639,12.3836281030659,22.1314438842933,4.19920506740633,7.62348535116803,7.57440642068889,13.8372984166843,253577.966666667,278423.4,1.84430216310865,1.94292365392077,5.625,17.1821305841924,6.83544303797468,5.78703703703704,4.22192151556157,12.2509960159363,3.44262295081967,0.158730158730159,3.98047315058205,10.3741798191169,6.07,5.4,2.26,2.06,0.56,0.26,9.19,0.66,0.2,3.2,3.4,-2,4.8,2.8
"MS",131690.276452219,158752.492239869,6.00912649666757,22.8269707726525,0.840032861389145,5.65096244837876,7.00675250826977,10.9315365405456,94349.4333333333,107906.6,0.546565212731754,0.994352856933618,10.8910891089109,17.7884615384615,7.85123966942149,9.70695970695971,6.76296782665791,15.3169014084507,7.07803992740472,1.65016501650165,7.17981888745149,11.9495008807986,9.5,8.44,7.49,6.1,1.6,0.91,15.37,0.95,0.6,4.9,5.5,-3,6.5,3.5
"MO",156273.200324369,201237.104558233,10.9469480119018,29.4674659963454,3.23037146075256,7.71242808387082,8.13737969228021,13.1235256889707,243511.133333333,276274.466666667,1.29009116959594,1.92157590089568,6.87022900763359,15.6,6.69856459330144,6.79824561403509,4.80367585630743,12.6893939393939,4.47470817120623,2.37226277372263,5.10150963040083,10.7065348444659,7.65,7.06,4.79,4.16,0.77,0.37,12.13,0.8,-0.2,3.6,3.4,-2.2,5,2.8
"MT",251050.678037948,358089.584309055,11.694180632525,50.5729665817886,3.6991572193396,10.4288795431901,9.44477506667548,15.1868678370445,44053.8,52765.5666666667,2.07017382083084,3.42782245523615,7.74647887323944,17.1532846715328,6.37254901960784,3.93013100436681,5.58902275769746,17.0014992503748,5.96330275229358,1.90677966101695,5.56561085972851,14.5928069450186,7.05,5.8,3.97,2.87,0.64,0.31,9.31,1.33,-0.5,4,3.5,-1.7,4.2,2.5
"NE",167522.547338665,213033.733857884,12.1593740527478,25.3790418657002,3.52946236768574,10.0256519711618,8.03504734217592,17.9363820600934,77672.3333333333,89083.3666666667,1.86303191489362,2.71081597380151,7.52688172043011,13.8059701492537,5.4590570719603,9.29705215419501,5.58415841584158,15.1591895803184,3.4,-1.32827324478178,5.60913705583756,12.3494687131051,6.65,6.09,2.81,2.05,0.51,0.3,9.25,0.65,0.1,3,3.1,-0.8,3,2.2
"NV",276015.594911005,370587.342121136,22.1437428077231,39.5370545991212,7.86193061113695,14.683731040421,10.5360600966142,14.3387734192037,121954.566666667,145377.1,4.25663629160063,4.51973893540902,13.0841121495327,19.8757763975155,7.76892430278884,10.6422018348624,8.87209627763784,17.2156768453955,12.664907651715,4.00890868596882,8.96263910969793,15.5610012252757,11.51,10.52,5.83,4.32,1.01,0.47,13.63,0.56,-0.7,4.8,4.1,-4.3,9.6,5.3
"NH",267161.328744327,358061.586250645,11.5731222876822,36.4223202834563,4.01406264628058,9.93775299870359,10.4841217733854,10.9824535426075,68971.7,78879.0666666667,2.06782184919453,2.20855878012789,6.14035087719298,13.3956386292835,6.51340996168582,6.02836879432624,4.31394377957139,11.2586162879755,-0.169491525423729,-0.335570469798658,3.79329301814184,9.43232952578747,6.64,5.74,2.89,1.89,0.7,0.34,8.57,0.59,-0.3,2.8,2.5,-2.1,4.6,2.5
"NJ",333121.282766245,413220.501446734,8.40915431856425,25.4101632099892,4.84747410846576,8.87684198858246,9.42240373395566,9.97586255856879,446385.833333333,509910.033333333,1.72855718874104,2.28826465533014,6.64961636828645,17.5487465181058,6.39386189258312,14.218009478673,1.73611111111111,14.0284360189573,8.56643356643357,1.89873417721519,2.19609199377486,12.3255422902304,7.51,6.71,3.94,2.96,1.73,0.74,8.48,1.03,-0.6,4.5,3.9,-3.5,7.3,3.8
"NM",185132.336146997,242458.254023878,9.44897372531296,31.9804400618115,7.65163860997895,5.81751729111353,10.274007551791,14.1686207860938,73642.8,83944.0333333333,0.704689541112882,1.69832534469495,7.92452830188679,14.3426294820717,9.63391136801541,8.98100172711572,5.00406834825061,13.5807050092764,7.61154855643045,-1.20481927710843,5.99793174767322,11.7464114832536,9,8.14,6.36,4.83,1.35,0.78,13.78,0.73,-0.4,5.4,5,-4.8,8.4,3.6
