"state","population_pre","population_post","creditcard_pre","creditcard_post","auto_pre","auto_post","mortgage_pre","mortgage_post","studentloan_pre","studentloan_post","total_pre","total_post","creditcard_delinq_pre","creditcard_delinq_post","auto_delinq_pre","auto_delinq_post","mortgage_delinq_pre","mortgage_delinq_post","studentloan_delinq_pre","studentloan_delinq_post"
"MA",2.27707595538876,1.86422491369647,7.73638968481375,18.1818181818182,4.7244094488189,5.86734693877551,4.39248251748252,12.2237706549871,3.34448160535117,2.74636510500808,3.85286189947677,10.8192807043725,7.22,6.59,2.79,1.86,0.9,0.37,7.14,0.72
"MD",1.32228727649118,1.74656232792251,8.99470899470899,16.3888888888889,6.26223091976517,6.71506352087114,2.29862475442043,11.864406779661,10.3833865814696,2.0260492040521,3.285244965005,10.2655841475162,7.43,6.94,5.11,4.25,1.33,0.61,10.01,0.65
"ME",1.3452688008901,2.84419337887546,7.63636363636364,13.0268199233716,7.85219399538106,10.6339468302658,3.69805566145635,12.7748691099476,3.2258064516129,-0.180505415162455,3.94486692015209,10.9277430865299,6.22,5.85,3.14,2.39,1.54,0.59,8.5,0.38
"MI",0.639845528416808,1.36080011661314,9.57854406130268,18.2539682539683,7.85907859078591,15.1807228915663,7.04712494595763,11.402157164869,7.65027322404372,0.66334991708126,6.69500531349628,10.9705667720749,6.88,6.63,5.34,4.83,0.68,0.41,11.99,0.77
"MN",1.84430216310865,1.94292365392077,5.625,17.1821305841924,6.83544303797468,5.78703703703704,4.22192151556157,12.2509960159363,3.44262295081967,0.158730158730159,3.98047315058205,10.3741798191169,6.07,5.4,2.26,2.06,0.56,0.26,9.19,0.66
"MO",1.29009116959594,1.92157590089568,6.87022900763359,15.6,6.69856459330144,6.79824561403509,4.80367585630743,12.6893939393939,4.47470817120623,2.37226277372263,5.10150963040083,10.7065348444659,7.65,7.06,4.79,4.16,0.77,0.37,12.13,0.8
"MS",0.546565212731754,0.994352856933618,10.8910891089109,17.7884615384615,7.85123966942149,9.70695970695971,6.76296782665791,15.3169014084507,7.07803992740472,1.65016501650165,7.17981888745149,11.9495008807986,9.5,8.44,7.49,6.1,1.6,0.91,15.37,0.95
"MT",2.07017382083084,3.42782245523615,7.74647887323944,17.1532846715328,6.37254901960784,3.93013100436681,5.58902275769746,17.0014992503748,5.96330275229358,1.90677966101695,5.56561085972851,14.5928069450186,7.05,5.8,3.97,2.87,0.64,0.31,9.31,1.33
"NC",3.22072419849833,3.70985959467029,8.33333333333333,15.6583629893238,6.5173116089613,8.3955223880597,5.28156698146205,17.3308032890576,10.5050505050505,2.52252252252252,5.53818669048682,14.2120462046205,8.15,7.77,5.71,4.54,0.89,0.44,12.63,0.83
"ND",1.63518654475072,1.86609919790473,7.74410774410774,14.8148148148148,10.1593625498008,4.58553791887125,9.15708812260536,11.8022864828514,4.9618320610687,19.1721132897603,7.86170968505802,12.3605338000438,5.58,5.65,2.86,2.11,0.79,0.47,7.85,0.78
"NE",1.86303191489362,2.71081597380151,7.52688172043011,13.8059701492537,5.4590570719603,9.29705215419501,5.58415841584158,15.1591895803184,3.4,-1.32827324478178,5.60913705583756,12.3494687131051,6.65,6.09,2.81,2.05,0.51,0.3,9.25,0.65
"NH",2.06782184919453,2.20855878012789,6.14035087719298,13.3956386292835,6.51340996168582,6.02836879432624,4.31394377957139,11.2586162879755,-0.169491525423729,-0.335570469798658,3.79329301814184,9.43232952578747,6.64,5.74,2.89,1.89,0.7,0.34,8.57,0.59
"NJ",1.72855718874104,2.28826465533014,6.64961636828645,17.5487465181058,6.39386189258312,14.218009478673,1.73611111111111,14.0284360189573,8.56643356643357,1.89873417721519,2.19609199377486,12.3255422902304,7.51,6.71,3.94,2.96,1.73,0.74,8.48,1.03
"NM",0.704689541112882,1.69832534469495,7.92452830188679,14.3426294820717,9.63391136801541,8.98100172711572,5.00406834825061,13.5807050092764,7.61154855643045,-1.20481927710843,5.99793174767322,11.7464114832536,9,8.14,6.36,4.83,1.35,0.78,13.78,0.73
"NV",4.25663629160063,4.51973893540902,13.0841121495327,19.8757763975155,7.76892430278884,10.6422018348624,8.87209627763784,17.2156768453955,12.664907651715,4.00890868596882,8.96263910969793,15.5610012252757,11.51,10.52,5.83,4.32,1.01,0.47,13.63,0.56
