"State","zhvi_pre_avg","zhvi_post_avg","zhvi_pre_change","zhvi_post_change","gdp_pre","gdp_post","income_pre","income_post","pce_pre","pce_post","population_pre","population_post","creditcard_pre","creditcard_post","auto_pre","auto_post","mortgage_pre","mortgage_post","studentloan_pre","studentloan_post","total_pre","total_post","creditcard_delinq_pre","creditcard_delinq_post","auto_delinq_pre","auto_delinq_post","mortgage_delinq_pre","mortgage_delinq_post","studentloan_delinq_pre","studentloan_delinq_post","unemp_pre","unemp_post"
"MI",156501.049117192,201957.230385849,14.5456498505109,26.4686221199372,514343.2,525331.866666667,46976.6666666667,55864,411154.866666667,459651.966666667,8475440,8554940,2726.66666666667,2700,3813.33333333333,4446.66666666667,23506.6666666667,27456.6666666667,5733.33333333333,6056.66666666667,38463.3333333333,43253.3333333333,6.51666666666667,7.07666666666667,4.99333333333333,4.87,0.75,0.4,12.17,4.27,4.275,6.64444444444444
"MN",236583.483413175,294272.225348639,12.3836281030659,22.1314438842933,363046.333333333,373383.433333333,55976.6666666667,66197.3333333333,253577.966666667,278423.4,4561133.33333333,4681386.66666667,3290,3106.66666666667,4100,4443.33333333333,37640,42693.3333333333,6230,6336.66666666667,54276.6666666667,59263.3333333333,5.79666666666667,5.94333333333333,2.00666666666667,2.02666666666667,0.613333333333333,0.26,9.17333333333333,3.90333333333333,3.24722222222222,4.15277777777778
"MS",131690.276452219,158752.492239869,6.00912649666757,22.8269707726525,110554.666666667,114185,37781.6666666667,45479.3333333333,94349.4333333333,107906.6,2427933.33333333,2468960,2123.33333333333,2226.66666666667,5023.33333333333,5743.33333333333,15733.3333333333,18333.3333333333,5760,6110,32053.3333333333,35996.6666666667,8.41666666666667,8.95666666666667,6.84,6.5,1.64,0.903333333333333,16.8,5.48,5.21388888888889,5.71388888888889
"MO",156273.200324369,201237.104558233,10.9469480119018,29.4674659963454,315595.1,328855.3,46628.6666666667,55919.6666666667,243511.133333333,276274.466666667,5099980,5223573.33333333,2703.33333333333,2653.33333333333,4320,4723.33333333333,24393.3333333333,28040,5260,5553.33333333333,39286.6666666667,43563.3333333333,7.35,7.74,4.38666666666667,4.35,0.806666666666667,0.423333333333333,12.72,4.67,3.41944444444444,4.31944444444445
"MT",251050.678037948,358089.584309055,11.694180632525,50.5729665817886,49396.3333333333,52826.3333333333,47410.3333333333,58023.3333333333,44053.8,52765.5666666667,876013.333333333,915340,2946.66666666667,2930,4220,4693.33333333333,30550,36253.3333333333,4550,4750,45273.3333333333,51870,6.46,6.69,3.49666666666667,3.34,0.73,0.3,10.0333333333333,3.94666666666667,3.775,3.95
"NE",167522.547338665,213033.733857884,12.1593740527478,25.3790418657002,125444.066666667,133705.233333333,51494,62395,77672.3333333333,89083.3666666667,1517193.33333333,1560053.33333333,2886.66666666667,2820,4146.66666666667,4616.66666666667,25863.3333333333,29756.6666666667,5083.33333333333,5250,40440,44893.3333333333,5.73333333333333,6.76,2.59,2.25666666666667,0.506666666666667,0.25,8.90666666666667,2.98666666666667,2.99444444444444,3.00555555555555
"NV",276015.594911005,370587.342121136,22.1437428077231,39.5370545991212,169289.1,179671.466666667,49407.3333333333,59308,121954.566666667,145377.1,2467673.33333333,2634453.33333333,3410,3476.66666666667,5230,5730,37326.6666666667,45150,4076.66666666667,4640,52640,61433.3333333333,10.88,11.9466666666667,5.27333333333333,4.88333333333333,1.27666666666667,0.503333333333333,14.0966666666667,4.43,4.50833333333333,8.56666666666667
"NH",267161.328744327,358061.586250645,11.5731222876822,36.4223202834563,82629.1,88172.6666666667,60719.6666666667,72053,68971.7,78879.0666666667,1193373.33333333,1234233.33333333,3526.66666666667,3363.33333333333,5380,5826.66666666667,36723.3333333333,41373.3333333333,5883.33333333333,5920,55620,60343.3333333333,6.18333333333333,6.61333333333333,2.53,2.24666666666667,0.89,0.323333333333333,8.45333333333333,3.60666666666667,2.66388888888889,4.21388888888889
"NJ",333121.282766245,413220.501446734,8.40915431856425,25.4101632099892,605223.3,626640.166666667,64473.3333333333,74642,446385.833333333,509910.033333333,7637493.33333333,7842613.33333333,4040,3836.66666666667,4030,4513.33333333333,40656.6666666667,45073.3333333333,6006.66666666667,6363.33333333333,58506.6666666667,62873.3333333333,7.38333333333333,7.51333333333333,3.49,3.24,2.15,0.826666666666667,8.67,3.19666666666667,3.99722222222222,6.675
"NM",185132.336146997,242458.254023878,9.44897372531296,31.9804400618115,96543.1,100613.866666667,41131.6666666667,50078,73642.8,83944.0333333333,1672760,1702573.33333333,2750,2640,5433.33333333333,5806.66666666667,25126.6666666667,28716.6666666667,3993.33333333333,4143.33333333333,39776.6666666667,43813.3333333333,8.97333333333333,9.00666666666667,6.28666666666667,5.62,1.51333333333333,0.776666666666667,14.2533333333333,4.34666666666667,5.33888888888889,6.35277777777778
